"Airport Name","City","Country","three-digit code","four_digit","l1","l2"
"Tres Arroyos Airport","Tres Arroyos","Argentina","","SAZH",-38.3869,-60.3297
"Bolivar Airport","Bolivar","Argentina","","SAZI",-36.1866,-61.0764
"Comodoro Pedro Zanni Airport","Pehuajo","Argentina","","SAZP",-35.8446,-61.8576
"Cutral-Co Airport","Cutralco","Argentina","","SAZW",-38.93970108,-69.26460266
"Campo Délio Jardim de Mattos Airport","Rio De Janeiro","Brazil","","SBAF",-22.875099,-43.384701
"Amapá Airport","Amapa","Brazil","","SBAM",2.07751,-50.8582
"Major Brigadeiro Doorgal Borges Airport","Barbacena","Brazil","","SBBQ",-21.26720047,-43.76110077
"Barra do Garças Airport","Barra Do Garcas","Brazil","","SBBW",-15.86130047,-52.38890076
"Cachimbo Airport","Itaituba","Brazil","","SBCC",-9.333939552,-54.9654007
"Canoas Air Force Base","Porto Alegre","Brazil","","SBCO",-29.945928,-51.144413
"Jacareacanga Airport","Jacare-acanga","Brazil","","SBEK",-6.233160019,-57.77690125
"São Pedro da Aldeia Airport","Sao Pedro Da Aldeia","Brazil","","SBES",-22.81290054,-42.09260178
"Furnas Airport","Alpinopolis","Brazil","","SBFU",-20.70280075,-46.33530045
"Guajará-Mirim Airport","Guajara-mirim","Brazil","","SBGM",-10.78639984,-65.28479767
"EMBRAER - Unidade Gavião Peixoto Airport","Macae","Brazil","","SBGP",-21.77370071,-48.40510178
"Guaratinguetá Airport","Guaratingueta","Brazil","","SBGW",-22.79159927,-45.20479965
"Itacoatiara Airport","Itaituba","Brazil","","SBIC",-3.12725997,-58.48120117
"Francisco Vilela do Amaral Airport","Itumbiara","Brazil","","SBIT",-18.44470024,-49.21340179
"Belém/Brigadeiro Protásio de Oliveira Airport","Belem","Brazil","","SBJC",-1.414160013,-48.46070099
"Lages Airport","Lajes","Brazil","","SBLJ",-27.78210068,-50.28150177
"Lagoa Santa Airport","Lagoa Santa","Brazil","","SBLS",-19.66160011,-43.89640045
"Monte Dourado Airport","Almeirim","Brazil","","SBMD",-0.8898389935,-52.60219955
"Campo de Marte Airport","Sao Paulo","Brazil","","SBMT",-23.50909996,-46.63779831
"Oiapoque Airport","Oioiapoque","Brazil","","SBOI",3.855489969,-51.7969017
"Prefeito Doutor João Silva Filho Airport","Parnaiba","Brazil","","SBPB",-2.893749952,-41.73199844
"Tarauacá Airport","Tarauaca","Brazil","","SBTK",-8.155260086,-70.78330231
"Telêmaco Borba Airport","Telemaco Borba","Brazil","","SBTL",-24.31780052,-50.65159988
"Tiriós Airport","Obidos Tirios","Brazil","","SBTS",2.223469973,-55.94609833
"Iauaretê Airport","Iauarete","Brazil","","SBYA",0.6075000167,-69.18579865
"El Bosque Airport","Santiago","Chile","","SCBQ",-33.5617981,-70.68840027
"Gral. Bernardo O´Higgins Airport","Chillan","Chile","","SCCH",-36.58250046,-72.03140259
"Futaleufú Airport","Futaleufu","Chile","","SCFT",-43.18920135,-71.85109711
"Vallenar Airport","Vallenar","Chile","","SCLL",-28.59639931,-70.7559967
"De La Independencia Airport","Rancagua","Chile","","SCRG",-34.17369843,-70.77570343
"Teniente Rodolfo Marsh Martin Base","Isla Rey Jorge","Antarctica","","SCRM",-62.19079971,-58.98669815
"Eulogio Sánchez Airport","Santiago","Chile","","SCTB",-33.45629883,-70.54669952
"Hacienda Clementina Airport","Clementia","Ecuador","","SECM",-1.706269979,-79.37889862
"Gualaquiza Airport","Gualaquiza","Ecuador","","SEGZ",-3.423209906,-78.56700134
"Atahualpa Airport","Ibarra","Ecuador","","SEIB",0.3384189904,-78.13639832
"Km 192 Airport","Km-192","Ecuador","","SEKK",0.1842029989,-79.39199829
"Hacienda La Julia Airport","La Julia","Ecuador","","SELJ",-1.704380035,-79.5522995
"Jose Maria Velasco Ibarra Airport","Macara","Ecuador","","SEMA",-4.378230095,-79.94100189
"El Carmen Airport","Montalvo","Ecuador","","SEMO",-2.067009926,-76.97570038
"Maragrosa Airport","Maragrosa","Ecuador","","SEMX",-2.851099968,-79.8035965
"Amable Calle Gutierrez Airport","Pasaje","Ecuador","","SEPS",-3.319669962,-79.76920319
"Quevedo Airport","Quevedo","Ecuador","","SEQE",-0.9894000292,-79.46510315
"Chimborazo Airport","Riobamba","Ecuador","","SERB",-1.653429985,-78.65609741
"Santo Domingo de Los Colorados Airport","Santo Domingo","Ecuador","","SESD",-0.2482219934,-79.21440125
"Taura Airport","Taura","Ecuador","","SETA",-2.261039972,-79.68019867
"Mayor Galo Torres Airport","Tena","Ecuador","","SETE",-0.986766994,-77.81950378
"Juan De Ayolas Airport","Ayolas","Paraguay","","SGAY",-27.370554,-56.854064
"Itaipú Airport","Itaipu","Paraguay","","SGIB",-25.407519,-54.619377
"Dr. Luis Maria Argaña International Airport","Mariscal Estigarribia","Paraguay","","SGME",-22.04999924,-60.61999893
"Carlos Miguel Gimenez Airport","Pilar","Paraguay","","SGPI",-26.881224,-58.318026
"Las Flores Airport","El Banco","Colombia","","SKBC",9.04554,-73.9749
"Santiago Vila Airport","Girardot","Colombia","","SKGI",4.27624,-74.7967
"Guaymaral Airport","Guaymaral","Colombia","","SKGY",4.81233,-74.0649
"Jorge Isaac Airport","La Mina","Colombia","","SKLM",11.2325,-72.4901
"Puerto Bolívar Airport","Puerto Bolivar","Colombia","","SKPB",12.2215,-71.9848
"Pitalito Airport","Pitalito","Colombia","","SKPI",1.85777,-76.0857
"Mariquita Airport","Mariquita","Colombia","","SKQU",5.21256,-74.8836
"Chimore Airport","Chapacura","Bolivia","","SLCH",-16.99001884,-65.14150238
"Juan Mendoza Airport","Oruro","Bolivia","","SLOR",-17.96260071,-67.07620239
"Santa Ana Del Yacuma Airport","Santa Ana","Bolivia","","SLSA",-13.76220036,-65.43520355
"Teniente Coronel Rafael Pabón Airport","Villa Montes","Bolivia","","SLVM",-21.25519943,-63.4056015
"Saint-Georges-de-l'Oyapock Airport","St.-georges Oyapock","French Guiana","","SOOG",3.897599936,-51.80410004
"Huancabamba Airport","Huancabamba","Peru","","SPAB",-5.256770134,-79.44290161
"Alferez FAP Alfredo Vladimir Sara Bauer Airport","Andoas","Peru","","SPAS",-2.796129942,-76.46659851
"Teniente General Gerardo Pérez Pinedo Airport","Atalaya","Peru","","SPAY",-10.72910023,-73.76650238
"Iberia Airport","Iberia","Peru","","SPBR",-11.41160011,-69.48870087
"Puerto Esperanza Airport","Puerto Esperanza","Peru","","SPEP",-9.768130302,-70.70649719
"Cesar Torke Podesta Airport","Moquegua","Peru","","SPEQ",-17.17900085,-70.93080139
"Francisco Carle Airport","Jauja","Peru","","SPJJ",-11.78310013,-75.4733963
"Ilo Airport","Ilo","Peru","","SPLO",-17.69499969,-71.34400177
"Las Palmas Air Base","Las Palmas","Peru","","SPLP",-12.16069984,-76.99890137
"Collique Airport","Collique","Peru","","SPOL",-11.92870045,-77.06109619
"Capitán FAP Leonardo Alvariño Herr Airport","San Ramon","Peru","","SPRM",-11.12860012,-75.35050201
"Angel S Adami Airport","Montevideo","Uruguay","","SUAA",-34.78919983,-56.26470184
"Santa Bernardina International Airport","Durazno","Uruguay","","SUDU",-33.35889816,-56.49919891
"San Fernando de Atabapo Airport","San Fernando Deatabapo","Venezuela","","SVAT",4.051040173,-67.6996994
"El Libertador Airbase","Maracaibo","Venezuela","","SVBL",10.18337536,-67.55731964
"Caicara del Orinoco Airport","Caicara De Orinoco","Venezuela","","SVCD",7.625510216,-66.16280365
"San Carlos Airport","San Carlos","Venezuela","","SVCJ",9.647720337,-68.5746994
"Calabozo Airport","Calabozo","Venezuela","","SVCL",8.924655914,-67.41709137
"Carora Airport","Carora","Venezuela","","SVCO",10.17560291,-70.06521606
"Oscar Machado Zuluaga Airport","Caracas","Venezuela","","SVCS",10.28611088,-66.8161087
"Capitán Manuel Ríos Airbase","Carrizal","Venezuela","","SVCZ",9.372650146,-66.92279816
"El Dorado Airport","El Dorado","Venezuela","","SVED",6.733333111,-61.58333206
"Elorza Airport","Elorza","Venezuela","","SVEZ",7.083333015,-69.53333282
"Guasdalito Airport","Guasdualito","Venezuela","","SVGD",7.233333111,-70.80000305
"Higuerote Airport","Higuerote","Venezuela","","SVHG",10.462474,-66.092779
"Andrés Miguel Salazar Marcano Airport","Isla De Coche","Venezuela","","SVIE",10.794432,-63.98159
"San Juan de Los Morros Airport","San Juan De Los Morros","Venezuela","","SVJM",9.906952858,-67.37963867
"La Orchila Airport","La Orchila","Venezuela","","SVLO",11.80720043,-66.17960358
"Paramillo Airport","San Cristobal","Venezuela","","SVPM",7.801320076,-72.20290375
"Palmarito Airport","Palmarito","Venezuela","","SVPT",7.566669941,-70.1832962
"Santa Bárbara de Barinas Airport","Santa Barbara","Venezuela","","SVSB",7.803514004,-71.16571808
"Sub Teniente Nestor Arias Airport","San Felipe","Venezuela","","SVSP",10.27869987,-68.75520325
"Tumeremo Airport","Tumeremo","Venezuela","","SVTM",7.24938,-61.52893
"Linden Airport","Linden","Guyana","","SYLD",5.965919971,-58.27030182
"Deesa Airport","Deesa","India","","VADS",24.26790047,72.20439911
"Guna Airport","Guna","India","","VAGN",24.65469933,77.34729767
"Batticaloa Airport","Batticaloa","Sri Lanka","","VCCB",7.70576,81.678802
"Kampong Chhnang Airport","Kompong Chnang","Cambodia","","VDKH",12.25520039,104.564003
"Along Airport","Along","India","","VEAN",28.1753006,94.80200195
"Bokaro Airport","Bokaro","India","","VEBK",23.64349937,86.14890289
"Hirakud Airport","Hirakud","India","","VEHK",21.5802002,84.00569916
"Jharsuguda Airport","Jharsuguda","India","","VEJH",21.91349983,84.05039978
"Muzaffarpur Airport","Mazuffarpur","India","","VEMZ",26.11910057,85.31369781
"Nawapara Airport","Nawapara","India","","VENP",20.87000084,82.51959991
"Purnea Airport","Purnea","India","","VEPU",25.75959969,87.41000366
"Utkela Airport","Utkela","India","","VEUK",20.09740067,83.18379974
"Zero Airport","Zero","India","","VEZO",27.5883007,93.82810211
"Tejgaon Airport","Dhaka","Bangladesh","","VGTJ",23.77879906,90.38269806
"Shek Kong Air Base","Sek Kong","Hong Kong","","VHSK",22.43659973,114.0800018
"Nal Airport","Bikaner","India","","VIBK",28.07060051,73.2071991
"Bhiwani Airport","Bhiwani","India","","VIBW",28.83699989,76.17910004
"Safdarjung Airport","Delhi","India","","VIDD",28.58449936,77.20580292
"Hissar Airport","Hissar","India","","VIHR",29.17939949,75.75530243
"Jhansi Airport","Jhansi","India","","VIJN",25.49119949,78.55840302
"Patiala Airport","Patiala","India","","VIPL",30.31480026,76.36450195
"Fursatganj Airport","Raibarelli","India","","VIRB",26.24850082,81.38050079
"Phonesavanh Airport","Phong Savanh","Laos","","VLPV",19.45490074,103.2180023
"Sam Neua Airport","Sam Neua","Laos","","VLSN",20.41839981,104.0670013
"Janakpur Airport","Janakpur","Nepal","","VNJP",26.70879936,85.92240143
"Dundigul Air Force Academy","Dundigul","India","","VODG",17.62719917,78.40339661
"Nagarjuna Sagar Airport","Nagarjunsagar","India","","VONS",16.54269981,79.3187027
"Salem Airport","Salem","India","","VOSM",11.7833004,78.06559753
"Tanjore Air Force Base","Tanjore","India","","VOTJ",10.72239971,79.10160065
"Kamphaeng Saen Airport","Nakhon Pathom","Thailand","","VTBK",14.10200024,99.91719818
"Khok Kathiam Airport","Lop Buri","Thailand","","VTBL",14.87460041,100.663002
"Watthana Nakhon Airport","Prachin Buri","Thailand","","VTBW",13.76879978,102.3150024
"Takhli Airport","Nakhon Sawan","Thailand","","VTPI",15.27729988,100.2959976
"Sak Long Airport","Phetchabun","Thailand","","VTPL",16.82430077,101.2509995
"Nakhon Sawan Airport","Nakhon Sawan","Thailand","","VTPN",15.67300034,100.137001
"Khunan Phumipol Airport","Tak","Thailand","","VTPY",17.23419952,99.05789948
"Khoun Khan Airport","Satun","Thailand","","VTSA",6.661399841,100.0800018
"Songkhla Airport","Songkhla","Thailand","","VTSH",7.186560154,100.6080017
"Cha Eian Airport","Nakhon Si Thammarat","Thailand","","VTSN",8.471150398,99.95559692
"Surin Airport","Surin","Thailand","","VTUJ",14.86830044,103.4980011
"Khorat Airport","Nakhon Ratchasima","Thailand","","VTUN",14.93449974,102.0790024
"Rob Muang Airport","Roi Et","Thailand","","VTUR",16.07040024,103.6460037
"Gia Lam Air Base","Hanoi","Vietnam","","VVGL",21.04050064,105.8860016
"Kep Air Base","Kep","Vietnam","","VVKP",21.39459991,106.2610016
"Ann Airport","Ann","Burma","","VYAN",19.76919937,94.02610016
"Anisakan Airport","Anisakan","Burma","","VYAS",21.95540047,96.40609741
"Coco Island Airport","Coco Island","Burma","","VYCI",14.14150047,93.36849976
"Hommalinn Airport","Hommalin","Burma","","VYHL",24.89959908,94.91400146
"Lanywa Airport","Lanywa","Burma","","VYLY",20.94039917,94.82260132
"Momeik Airport","Momeik","Burma","","VYMO",23.09250069,96.64530182
"Nampong Air Base","Nampong","Burma","","VYNP",25.35440063,97.29519653
"Namsang Airport","Namsang","Burma","","VYNS",20.89049911,97.73590088
"Hpa-N Airport","Hpa-an","Burma","","VYPA",16.89369965,97.67459869
"Pyay Airport","Pyay","Burma","","VYPY",18.82449913,95.26599884
"Shante Air Base","Shante","Burma","","VYST",20.94169998,95.91449738
"Taungoo Airport","Taungoo","Burma","","VYTO",19.03129959,96.40119934
"Aek Godang Airport","Padang Sidempuan","Indonesia","","WIME",1.4001,99.430496
"Minangkabau Airport","Padang","Indonesia","","WIPT",-0.7869169712,100.2809982
"Dr Ferdinand Lumban Tobing Airport","Sibolga","Indonesia","","WIMS",1.555940032,98.88890076
"Nanga Pinoh Airport","Nangapinoh","Indonesia","","WIOG",-0.3488689959,111.7480011
"Lhok Sukon Airport","Lhok Sukon","Indonesia","","WITL",5.069509983,97.25920105
"Kluang Airport","Kluang","Malaysia","","WMAP",2.041389942,103.3069992
"Butterworth Airport","Butterworth","Malaysia","","WMKB",5.465919971,100.3909988
"Simpang Airport","Simpang","Malaysia","","WMKF",3.11225009,101.7030029
"Suai Airport","Suai","East Timor","","WPDB",-9.303310394,125.2870026
"Cakung Airport","Baucau","East Timor","","WPEC",-8.489029884,126.401001
"Sembawang Air Base","Sembawang","Singapore","","WSAG",1.425259948,103.8130035
"Tengah Air Base","Tengah","Singapore","","WSAT",1.38725996,103.7089996
"Brisbane Archerfield Airport","Brisbane","Australia","","YBAF",-27.57029915,153.0079956
"RAAF Base East Sale","East Sale","Australia","","YMES",-38.09889984,147.1490021
"RAAF Williams, Point Cook Base","Point Cook","Australia","","YMPC",-37.93220139,144.753006
"RAAF Base Edinburgh","Edinburgh","Australia","","YPED",-34.70249939,138.6210022
"Adelaide Parafield Airport","Adelaide","Australia","","YPPF",-34.79330063,138.6329956
"RAAF Base Richmond","Richmond","Australia","","YSRI",-33.600601,150.781006
"Robinson Army Air Field","Robinson","United States","","KRBM",34.85010147,-92.30020142
"Hurlburt Field","Mary Esther","United States","","KHRT",30.42779922,-86.68930054
"Tonopah Test Range Airport","Tonopah","United States","","KTNX",37.79880142,-116.7809982
"San Nicolas Island Nolf Airport","San Nicolas Island","United States","","KNSI",33.2397995,-119.4580002
"Scappoose Industrial Airpark","San Luis","United States","","KSPB",45.77099991,-122.8619995
"Wright Aaf (Fort Stewart)/Midcoast Regional Airport","Wright","United States","","KLHW",31.88909912,-81.56230164
"Cherry Point MCAS /Cunningham Field/","Cherry Point","United States","","KNKT",34.90090179,-76.88069916
"New River MCAS /H/ /Mccutcheon Fld/ Airport","Jacksonville","United States","","KNCA",34.70840073,-77.43969727
"Chandler Municipal Airport","Chandler","United States","","KCHD",33.2691,-111.810997
"Andi Jemma Airport","Masamba","Indonesia","","WAWM",-2.558039904,120.3239975
"Soroako Airport","Soroako","Indonesia","","WAWS",-2.531199932,121.3580017
"Cibeureum Airport","Tasikmalaya","Indonesia","","WICM",-7.346600056,108.2460022
"Iswahyudi Airport","Madiun","Indonesia","","WARI",-7.615769863,111.4339981
"Budiarto Airport","Tangerang","Indonesia","","WICB",-6.293169975,106.5699997
"Batu Licin Airport","Batu Licin","Indonesia","","WAOC",-3.412410021,115.9950027
"Tanjung Santan Airport","Tanjung Santan","Indonesia","","WALT",-0.0929730013,117.4530029
"S. Darius and S. Girėnas Airport","Kaunas","Lithuania","","EYKS",54.87979889,23.88150024
"Erebuni Airport","Yerevan","Armenia","","UDYE",40.12210083,44.46500015
"Stepanavan Airport","Stepanavan","Armenia","","UDLS",41.04850006,44.33720016
"Al Badie Airport","Al Badie","Yemen","","OYBA",18.71929932,50.8368988
"Samsø Airport","Samsoe","Denmark","","EKSS",55.88949966,10.61369991
"Coal Harbour Seaplane Base","Vancouver","Canada","","CAQ3",50.59999847,-127.5830002
"Al Asad Air Base","Al Asad","Iraq","","ORAA",33.78559875,42.44120026
"Al Taqaddum Air Base","Al Taqaddum","Iraq","","ORAT",33.33810043,43.5970993
"Joint Base Balad","Al Bakr","Iraq","","ORBD",33.94020081,44.36159897
"Iguatu Airport","Iguatu","Brazil","","SNIG",-6.34664011,-39.29380035
"Enghien Moisselles Airport","Enghien-moisselles","France","","LFFE",49.04639816,2.353060007
"Bakki Airport","Bakki","Iceland","","BIBA",63.55609894,-20.13750076
"Novosibirsk North Airport","Novosibirsk","Russia","","UNCC",55.09170151,82.90670013
"Shun Tak Heliport","Hong Kong","Hong Kong","","VHST",22.28937149,114.152153
"Lac Du Bonnet Airport","Lac Du Bonnet","Canada","","CYAX",50.29439926,-96.01000214
"Weston Airport","Leixlip","Ireland","","EIWT",53.35219955,-6.48611021
"Ambanja Airport","Ambanja","Madagascar","","FMNJ",-13.645705,48.459427
"Playa Samara Airport","Playa Samara","Costa Rica","","MRSR",10.25,-85.41699982
"Cayo Coco Airport","Cayo Coco","Cuba","","MUOC",22.51320076,-78.51100159
"Rajah Buayan Air Base","General Santos City","Philippines","","RPMB",6.106440067,125.2350006
"Szczecin-Dąbie Airport","Szczecin","Poland","","EPSD",53.39210129,14.63379955
"Lanzhou City Airport","Lanzhou","China","","ZLAN",36.033333,103.86667
"Tannheim Airport","Tannheim","Germany","","EDMT",48.00999832,10.09861088
"Berkley Structures Heliport","Pagerungan","Indonesia","","WA19",47.682043,-122.148456
"Anduki Airport","Seria","Brunei","","WBAK",4.637000084,114.3820038
"La Côte Airport","Prangins","Switzerland","","LSGP",46.40639877,6.258059978
"Concord Regional Airport","Concord","United States","","KJQF",35.387798,-80.709099
"Isle of Wight / Sandown Airport","Isle Of Wight","United Kingdom","","EGHN",50.653099,-1.18221998
"Andernos Les Bains Airport","Andernos-Les-Bains","France","","LFCD",44.7560997,-1.063330054
"Bienenfarm Airport","Nauen","Germany","","EDOI",52.66166687,12.7458334
"Yverdon-les-Bains Airport","Yverdon-Les-Bains","Switzerland","","LSGY",46.76190186,6.613329887
"Bielsko Biala Airport","Bielsko-Biala","Poland","","EPBA",49.80500031,19.00189972
"Tekapo Aerodrome","Lake Tekapo","New Zealand","","NZTL",-44.00529861,170.4440002
"Niederoeblarn Airport","Niederoeblarn","Austria","","LOGO",47.478298,14.0083
"Vöslau Airport","Bad Voeslau","Austria","","LOAV",47.96500015,16.26000023
"Uetersen/Heist Airport","Uetersen","Germany","","EDHE",53.64638901,9.704167366
"Tocache Airport","Tocache","Peru","","SPCH",-8.182999611,-76.51699829
"Weser-Wümme Airport","Hellwege","Germany","","EDWM",53.05389023,9.208610535
"Krems Airport","Krems","Austria","","LOAG",48.446389,15.634167
"Raron Airport","Raron","Switzerland","","LSTA",46.30360031,7.823329926
"Borovaya Airfield","Minsk","Belarus","","UMMB",53.9604611,27.6505961
"Amlikon Glider Airport","Amlikon","Switzerland","","LSPA",47.57419968,9.047499657
"Lommis Airfield","Lommis","Switzerland","","LSZT",47.5243988,9.003060341
"Flugplatz Finsterwalde/Heinrichsruh","Finsterwalde","Germany","","EDAS",51.634445,13.675556
"Marquette Airport","Marquette","United States","","KMQT",46.53390121,-87.56140137
"Dinslaken/Schwarze Heide Airport","Dinslaken","Germany","","EDLD",51.616112,6.865278
"Höxter-Holzminden Airport","Hoexter Holzminden","Germany","","EDVI",51.80666733,9.378333092
"Niijima Airport","Niijima","Japan","","RJAN",34.36940002,139.2689972
"Kalundborg Airport","Kalundborg","Denmark","","EKKL",55.70029831,11.25
"Bungle Bungle Airport","Bungle Bungle","Australia","","YBUU",-17.54529953,128.3070068
"Spray View Airport","Spray View","Zimbabwe","","FVSV",-17.91699982,25.81699944
"Brown County Airport","Georgetown","United States","","KGEO",38.88190079,-83.88269806
"Zell Am See Airport","Zell am See","Austria","","LOWZ",47.292222,12.7875
"RAAF Base Amberley","Amberley","Australia","","YAMB",-27.6406,152.712006
"RAAF Williams, Laverton Base","Laverton","Australia","","YLVT",-37.86360168,144.7460022
"Harle Airport","Harlesiel","Germany","","EDXP",53.70666885,7.820278168
"RAAF Base Pearce","Perth","Australia","","YPEA",-31.6678009,116.0149994
"Bendigo Airport","Bendigo","Australia","","YBDG",-36.73939896,144.3300018
"Kirensk Airport","Kirensk","Russia","","UIKK",57.773,108.064
"Triengen Airport","Triengen","Switzerland","","LSPN",47.22669983,8.07806015
"Speck-Fehraltorf Airport","Fehraltorf","Switzerland","","LSZK",47.37639999,8.757499695
"Taganrog Yuzhny Airport","Taganrog","Russia","","URRT",47.1983333,38.8491667
"Zhukovsky International Airport","Ramenskoe","Russia","","UUBW",55.553299,38.150002
"Khabarovsk Airport","Khabarovsk","Russia","","UHHT",48.52500153,135.1529999
"Dzemgi Airport","Komsomolsk-on-Amur","Russia","","UHKD",50.60559845,137.0809937
"Belaya Air Base","Sredniiy","Russia","","UIIB",52.91500092,103.5749969
"Tuzla International Airport","Null","Bosnia and Herzegovina","","LQTZ",44.45869827,18.72480011
"NAS Fort Worth JRB/Carswell Field","Dallas","United States","","KNFW",32.76919937,-97.4414978
"Kyaukhtu South Airport","Kyauktu","Burma","","VYXG",21.40670013,94.13030243
"Bokpyinn Airport","Bokepyin","Burma","","VYBP",11.1494,98.735901
"Volkel Air Base","Volkel","Netherlands","","EHVK",51.657222,5.7077778
"Biel-Kappelen Airport","Biel","Switzerland","","LSZP",47.08919907,7.289999962
"Deland Municipal Sidney H Taylor Field","DeLand","United States","","KDED",29.06699944,-81.28379822
"Haller Airpark","Green Cove Springs","United States","","7FL4",29.904057,-81.68515
"Palmar Airport","Santa Lucia","Peru","","SLPA",-18.97166634,-62.97533417
"Birrfeld Airport","Birrfeld","Switzerland","","LSZF",47.4435997,8.233610153
"Bagram Air Base","Kabul","Afghanistan","","OAIX",34.94609833,69.26499939
"Prince Sultan Air Base","Al Kharj","Saudi Arabia","","OEPS",24.06270027,47.58050156
"Pápa Air Base","Papa","Hungary","","LHPA",47.36360168,17.50079918
"Phoenix Goodyear Airport","Goodyear","United States","","KGYR",33.42250061,-112.3759995
"Ballera Airport","Ballera","Australia","","YLLE",-27.405633,141.809458
"Gatton Campus Airport","Gatton","Australia","","YGAT",-27.56040607,152.3404598
"Nabern/Teck Airport","Kirchheim-Teck","Germany","","EDTN",48.61277771,9.477222443
"Natuashish Airport","Natuashish","Canada","","CNH2",55.913898,-61.184399
"Langley Airport","Langley Township","Canada","","CYNJ",49.10079956,-122.6309967
"Camaguey-Campo Cuatro Milpas Airport","Guasave","Mexico","","MM52",25.6522007,-108.538002
"Cabo San Lucas International Airport","Cabo San Lucas","Mexico","","MMSL",22.9477005,-109.9369965
"San Carlos","San Carlos","Nicaragua","","MNSC",11.13339996,-84.76999664
"Afobakka Airstrip","Afobaka","Suriname","","SMAF",4.998505,-54.992033
"Alalapadu Airstrip","Alapadu","Suriname","","SMDU",2.5235,-56.3247
"Kabalebo Airport","Kabalebo","Suriname","","SMKA",4.406000137,-57.22299957
"Kayser Airport","Kayser","Suriname","","SMKE",3.099999905,-56.48300171
"Kwamalasoemoetoe Airport Airport","Kwamelasemoetoe","Suriname","","SMSM",2.333329916,-56.78333282
"Moengo Airstrip","Moengo","Suriname","","SMMO",5.6076,-54.4003
"Sipaliwini Airport","Sipaliwini","Suriname","","SMSI",1.966050029,-56.00350189
"Apoteri Airport","Apoteri","Guyana","","SYAP",4.013879776,-58.60499954
"Batagay Airport","Batagay","Russia","","UEBB",67.64800262,134.6950073
"Meru Mulika Airport","Meru National Park","Kenya","","HKMK",0.229567,38.171412
"Yei Airport","Yei","Sudan","","HSYE",4.130281601,30.72807312
"Ecuvillens Airport","Ecuvillens","Switzerland","","LSGE",46.75500107,7.076109886
"Inhaca Airport","Inhaca","Mozambique","","FQIA",-25.9971447,32.92935181
"Kidepo Airport","Kidepo","Uganda","","HUKD",3.7176,33.7487
"Kitgum Airport","Kitgum","Uganda","","HUKT",3.2817,32.8882
"Svea Airport","Sveagruva","Svalbard","","ENSA",77.8969444,16.725
"Ny-Ålesund Airport (Hamnerabben)","Ny-Alesund","Svalbard","","ENAS",78.92749786,11.8743
"Kihnu Airfield","Kihnu","Estonia","","EEKU",58.14830017,24.00250053
"Ruhnu Airfield","Ruhnu","Estonia","","EERU",57.78390121,23.26609993
"Ouessant Airport","Ouessant","France","","LFEC",48.46319962,-5.063580036
"Selfoss Airport","Selfoss","Iceland","","BISF",63.92919922,-21.03779984
"Qurghonteppa International Airport","Kurgan Tyube","Tajikistan","","UTDT",37.86640167,68.86470032
"Severo-Evensk Airport","Evensk","Russia","","UHMW",61.92166519,159.2299957
"Olenyok Airport","Olenyok","Russia","","UERO",68.51499939,112.4800034
"Saskylakh Airport","Saskylakh","Russia","","UERS",71.92790222,114.0800018
"Nizhneangarsk Airport","Nizhneangarsk","Russia","","UIUN",55.80080032,109.5950012
"Vanavara Airport","Vanavara","Russia","","UNIW",60.35969925,102.3239975
"Aykhal Airport","Aykhal","Russia","","UERA",65.959198,111.5465012
"Uktus Airport","Yekaterinburg","Russia","","USSK",56.7016983,60.79000092
"Baykit Airport","Baykit","Russia","","UNIB",61.67670059,96.35500336
"Biysk Airport","Biysk","Russia","","UNBI",52.47999954,85.33999634
"Cecil Airport","Jacksonville","United States","","KVQQ",30.21870041,-81.87670136
"Stepanakert Air Base","Stepanakert","Azerbaijan","","UB13",39.90140152,46.78699875
"Assumption Island Airport","Assumption Island","Seychelles","","FSAS",-9.74222,46.506802
"Maturacá Airport","Maturaca","Brazil","","SWMK",0.6282690167,-66.11509705
"Centro de Lançamento de Alcântara Airport","Alcantara","Brazil","","SNCW",-2.372999907,-44.39640045
"Würzburg-Schenkenturm Airport","Wuerzburg","Germany","","EDFW",49.81777954,9.897500038
"São Jacinto Airport","Aveiro","Portugal","","LPAV",40.656741,-8.741544
"Hopsten Air Base","Hopsten","Germany","","ETNP",52.33869934,7.541329861
"Donoi Airport","Uliastai","Mongolia","","ZMDN",47.7093,96.5258
"Wilkins Runway","Budd Coast","Antarctica","","YWKS",-66.690833,111.523611
"Dyagilevo Air Base","Kostroma","Russia","","UUBD",54.6446991,39.57040024
"Wangen-Lachen Airport","Wangen-Lachen","Switzerland","","LSPV",47.20470047,8.867500305
"Courtelary Airport","Courtelary ","Switzerland","","LSZJ",47.18360138,7.090829849
"Camp Okavango Airport","Okavango Delta","Botswana","","FBCO",-19.131115,23.102505
"Whittier Airport","Whittier","United States","","PAWR",60.77719879,-148.7220001
"San Clemente Island Naval Auxiliary Landing Field","San Clemente Island","United States","","KNUC",33.02270126,-118.5879974
"Mezen Airport","Mezen","Russia","","ULAE",65.87833405,44.21500015
"Vaskovo Airport","Arkhangelsk","Russia","","ULAH",64.4417038,40.42169952
"Brumowski  Air Base","Tulln","Austria","","LOXT",48.3167,16.116699
"London Heliport","London","United Kingdom","","EGLW",51.46972275,-0.1794440001
"Venice-Lido Airport","Venice","Italy","","LIPV",45.428299,12.3881
"Tallinn Linnahall Heliport","Tallinn","Estonia","","EECL",59.44861984,24.75322723
